标签名,位置A行号,位置A路径,位置B行号,位置B路径,后代数A,后代数B,重叠度
头具,7831,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具,10897,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具,15,15,1.0
女服,7863,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/女服,10929,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/女服,15,15,1.0
动力工具,7505,V2融合世界标签体系/通用分类标签/人造物体/动力工具,9618,V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具,14,14,1.0
商人,3113,V2融合世界标签体系/通用分类标签/人物与人体/资本家/商业人士/商人,3115,V2融合世界标签体系/通用分类标签/人物与人体/资本家/商业人士/商人,13,13,1.0
防护服装,8161,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/防护服装,11227,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/防护服装,13,13,1.0
刀,1216,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/刀,1225,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/刀,12,12,1.0
夹克,7996,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/夹克,11062,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/夹克,12,12,1.0
袜类,8180,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/袜类,11246,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子/袜类,12,12,1.0
骑乘者,2862,V2融合世界标签体系/通用分类标签/人物与人体/旅行者/骑乘者,2865,V2融合世界标签体系/通用分类标签/人物与人体/旅行者/骑乘者,10,10,1.0
披风,8026,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/披风,11092,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/披风,10,10,1.0
衬衣,8096,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/衬衣,11162,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/衬衣,10,10,1.0
醋,28505,V2融合世界标签体系/通用分类标签/食物/调味品/醋,28514,V2融合世界标签体系/通用分类标签/食物/调味品/醋,10,10,1.0
天然纤维,31746,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维,31748,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维,10,8,0.8
别针,3331,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/别针,3342,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/别针,9,9,1.0
吸尘器,5131,V2融合世界标签体系/通用分类标签/人造物体/家用电器/吸尘器,5140,V2融合世界标签体系/通用分类标签/人造物体/家用电器/吸尘器,9,9,1.0
一套衣服,7937,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/一套衣服,11003,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/一套衣服,9,9,1.0
地毯,8574,V2融合世界标签体系/通用分类标签/人造物体/家具/地毯,11268,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/地板蒙布/地毯,9,9,1.0
宠物,15088,V2融合世界标签体系/通用分类标签/动物/宠物,15089,V2融合世界标签体系/通用分类标签/动物/宠物,9,9,1.0
胡蜂,15317,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/膜翅目昆虫/胡蜂,15321,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/膜翅目昆虫/胡蜂/胡蜂,9,5,0.56
球场,16177,V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野/球场,16187,V2融合世界标签体系/通用分类标签/场景/自然户外场景/田野/球场,9,9,1.0
唱片,5720,V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备/唱片,5728,V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备/唱片,8,8,1.0
制服,7816,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服,10882,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服,8,8,1.0
装备,8149,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备,11215,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备,8,8,1.0
梳子,9830,V2融合世界标签体系/通用分类标签/人造物体/梳子,9831,V2融合世界标签体系/通用分类标签/人造物体/梳子,8,8,1.0
电池,10284,V2融合世界标签体系/通用分类标签/人造物体/电力设备/电池,10293,V2融合世界标签体系/通用分类标签/人造物体/电力设备/电池,8,8,1.0
粉底,10480,V2融合世界标签体系/通用分类标签/人造物体/粉底,10489,V2融合世界标签体系/通用分类标签/人造物体/粉底,8,8,1.0
油画,18964,V2融合世界标签体系/通用分类标签/文化艺术与媒介/油画,18965,V2融合世界标签体系/通用分类标签/文化艺术与媒介/油画,8,8,1.0
滑冰,25965,V2融合世界标签体系/通用分类标签/行为动作/休养/体育/滑冰,25970,V2融合世界标签体系/通用分类标签/行为动作/休养/体育/滑冰,8,8,1.0
辣椒酱,28486,V2融合世界标签体系/通用分类标签/食物/调味品/辣椒酱,28495,V2融合世界标签体系/通用分类标签/食物/调味品/辣椒酱,8,8,1.0
个性,30752,V2融合世界标签体系/通用分类标签/属性与状态/个性,30762,V2融合世界标签体系/通用分类标签/属性与状态/个性,8,8,1.0
货币,31489,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币,31491,V2融合世界标签体系/通用分类标签/时间数量与度量/度量/标准/交换媒介/货币,8,8,1.0
夹具,8434,V2融合世界标签体系/通用分类标签/人造物体/固定装置/夹具,8441,V2融合世界标签体系/通用分类标签/人造物体/固定装置/夹具,7,7,1.0
指针,9212,V2融合世界标签体系/通用分类标签/人造物体/指示器/指针,9213,V2融合世界标签体系/通用分类标签/人造物体/指示器/指针,7,7,1.0
雪松,20097,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/雪松,20102,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/针叶树/雪松,7,7,1.0
导弹,1235,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/导弹,1242,V2融合世界标签体系/通用分类标签/人物与人体/人体部位/手臂/导弹,6,6,1.0
兜鍪,7834,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/兜鍪,10900,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/兜鍪,6,6,1.0
手部穿戴物,7887,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/手部穿戴物,10953,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/手部穿戴物,6,6,1.0
颈部服饰,8141,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/颈部服饰,11207,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/颈部服饰,6,6,1.0
粗绳,10533,V2融合世界标签体系/通用分类标签/人造物体/线/粗绳,10540,V2融合世界标签体系/通用分类标签/人造物体/线/粗绳,6,6,1.0
家鼠,11805,V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/家鼠,11810,V2融合世界标签体系/通用分类标签/动物/哺乳动物/啮齿动物/家鼠,6,6,1.0
小型马,12142,V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/小型马,12146,V2融合世界标签体系/通用分类标签/动物/哺乳动物/马科动物/家马/小型马,6,6,1.0
甜瓜,21336,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/葫芦/甜瓜,29254,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜,6,5,0.57
军火,32858,V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火,32863,V2融合世界标签体系/IP 分类标签/地标与武器 IP/武器/军火,6,6,1.0
管子,3277,V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/管子,3283,V2融合世界标签体系/通用分类标签/人造物体/中西乐器/管乐器/管子,5,5,1.0
钟,7334,V2融合世界标签体系/通用分类标签/人造物体/信号装置/钟,8535,V2融合世界标签体系/通用分类标签/人造物体/声学装置/钟,5,5,1.0
一把剪刀,7434,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/一把剪刀,8350,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀,5,5,1.0
木工刨,7470,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/木工刨,9150,V2融合世界标签体系/通用分类标签/人造物体/手工工具/木工刨,5,5,1.0
动力锯,7511,V2融合世界标签体系/通用分类标签/人造物体/动力工具/动力锯,9624,V2融合世界标签体系/通用分类标签/人造物体/机器/动力工具/动力锯,5,5,1.0
上衣,7853,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/女装/上衣,10919,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/女装/上衣,5,5,1.0
套头衫,8043,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/套头衫,11109,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/套头衫,5,5,1.0
带,8150,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/装备/带,11216,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/装备/带,5,5,1.0
袜子,8184,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/袜类/袜子,11250,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子/袜类/袜子,5,5,1.0
海燕,14123,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海燕,14126,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/海燕/海燕,5,3,0.6
天井,17651,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井,17658,V2融合世界标签体系/通用分类标签/建筑与基础设施/区/天井,5,5,1.0
柑桔,20250,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属/柑桔,20254,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/乔木/开花乔木/果树/柑橘属/柑桔,5,5,1.0
甜瓜,29254,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜,29256,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/甜瓜/甜瓜,5,3,0.6
伙伴,1993,V2融合世界标签体系/通用分类标签/人物与人体/亲属/伙伴,2552,V2融合世界标签体系/通用分类标签/人物与人体/同居伴侣/伙伴,4,4,1.0
大剪刀,7435,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/一把剪刀/大剪刀,8351,V2融合世界标签体系/通用分类标签/人造物体/器具/棒/杠杆/复式杠杆/一把剪刀/大剪刀,4,4,1.0
军服,7817,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/制服/军服,10883,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/制服/军服,4,4,1.0
外套服装,7825,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/外套服装,10891,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/外套服装,4,4,1.0
夜礼服,7912,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/夜礼服,10978,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/夜礼服,4,4,1.0
领带,8144,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/颈部服饰/领带,11210,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/颈部服饰/领带,4,4,1.0
制动器,10505,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器,10506,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器,4,4,1.0
制动器,10505,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器,10507,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器/制动器,4,3,0.75
制动器,10506,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器,10507,V2融合世界标签体系/通用分类标签/人造物体/约束/制动器/制动器,4,3,0.75
河鲈,13283,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/河鲈,13288,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/河鲈,4,4,1.0
海螺,15437,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/单壳软体动物/海螺,15443,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/贝类水产/单壳软体动物/海螺,4,4,1.0
街道,17367,V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/通道/街道,17368,V2融合世界标签体系/通用分类标签/建筑与基础设施/路桥隧道工程/公路/通道/街道,4,4,1.0
代码,19519,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/手写/字迹/编码系统/代码,19525,V2融合世界标签体系/通用分类标签/文字与信息图形/书面交流/手写/字迹/编码系统/代码,4,4,1.0
夏南瓜,21296,V2融合世界标签体系/通用分类标签/植物/草本竹藤植物/藤本植物/南瓜藤/夏南瓜,29100,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/壁球运动/夏南瓜,4,3,0.75
兽皮,31649,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/兽皮/兽皮,31650,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/兽皮/兽皮,4,4,1.0
流体,31843,V2融合世界标签体系/通用分类标签/材料与物质/流体,31845,V2融合世界标签体系/通用分类标签/材料与物质/流体,4,4,1.0
中央,31969,V2融合世界标签体系/通用分类标签/知识与学科/中央,31970,V2融合世界标签体系/通用分类标签/知识与学科/中央,4,4,1.0
市镇,31987,V2融合世界标签体系/通用分类标签/知识与学科/人口聚居区/市镇,32074,V2融合世界标签体系/通用分类标签/知识与学科/地区/行政区/市镇,4,4,1.0
立法者,2071,V2融合世界标签体系/通用分类标签/人物与人体/会长/立法者,2072,V2融合世界标签体系/通用分类标签/人物与人体/会长/立法者/立法者,3,2,0.67
假发,7901,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/假发,10967,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/假发,3,3,1.0
地基,7969,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/不可言说之物/地基,11035,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/不可言说之物/地基,3,3,1.0
防水的,8021,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/外衣/外套/防水的,11087,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/外衣/外套/防水的,3,3,1.0
头部覆盖物,8039,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/头部覆盖物,11105,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/头部覆盖物,3,3,1.0
护腿,8074,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/护腿,11140,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/护腿,3,3,1.0
泳衣,8081,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/泳衣,11147,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/泳衣,3,3,1.0
泳裤,8120,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/衣服/裤子/泳裤,11186,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/衣服/裤子/泳裤,3,3,1.0
长筒袜,8190,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/鞋子/袜类/长筒袜,11256,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/鞋子/袜类/长筒袜,3,3,1.0
壕沟,9238,V2融合世界标签体系/通用分类标签/人造物体/挖掘/排水沟/壕沟,9240,V2融合世界标签体系/通用分类标签/人造物体/挖掘/排水沟/壕沟,3,3,1.0
保护者,9407,V2融合世界标签体系/通用分类标签/人造物体/救援设备/保护者,9933,V2融合世界标签体系/通用分类标签/人造物体/浮子/保护者,3,3,1.0
球场,10729,V2融合世界标签体系/通用分类标签/人造物体/装置/球场,10735,V2融合世界标签体系/通用分类标签/人造物体/装置/球场,3,3,1.0
石首鱼,13306,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/石首鱼科的鱼/石首鱼,13309,V2融合世界标签体系/通用分类标签/动物/水生非哺乳生物/硬骨鱼/真骨鱼/棘鳍目鱼/鲈形亚目鱼/石首鱼科的鱼/石首鱼,3,3,1.0
塘鹅,14144,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅,14147,V2融合世界标签体系/通用分类标签/动物/鸟类/海鸟/鹈形目海鸟/塘鹅,3,3,1.0
谷蛾,15368,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蛾/谷蛾,15369,V2融合世界标签体系/通用分类标签/动物/无脊椎动物/节肢动物/昆虫/鳞翅目昆虫/蛾/谷蛾/谷蛾,3,2,0.67
市场广场,16948,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/市场广场,16949,V2融合世界标签体系/通用分类标签/建筑与基础设施/商业办公建筑/市场/市场广场,3,3,1.0
乡村别墅,17393,V2融合世界标签体系/通用分类标签/建筑与基础设施/H类住宅/乡村别墅,17467,V2融合世界标签体系/通用分类标签/建筑与基础设施/住宅/住处/H类住宅/乡村别墅,3,3,1.0
工作室,18864,V2融合世界标签体系/通用分类标签/文化艺术与媒介/工作室,18867,V2融合世界标签体系/通用分类标签/文化艺术与媒介/工作室,3,3,1.0
月季,20605,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/月季,20606,V2融合世界标签体系/通用分类标签/植物/乔木灌木林木/灌木/月季,3,3,1.0
子囊菌,22999,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/子囊菌,23000,V2融合世界标签体系/通用分类标签/真菌与微生物/菌类/子囊菌,3,3,1.0
土豆,29108,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/根菜类/土豆,29130,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/茄科蔬菜/土豆,3,3,1.0
豌豆,29165,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/豌豆,29166,V2融合世界标签体系/通用分类标签/食物/农产品/蔬菜/豆科植物/豌豆/豌豆,3,2,0.67
橘子,29214,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/橘子,29218,V2融合世界标签体系/通用分类标签/食物/农产品/食用水果/柑橘属/橘子,3,3,1.0
布丁,29767,V2融合世界标签体系/通用分类标签/食物/路线/点心/布丁,29769,V2融合世界标签体系/通用分类标签/食物/路线/点心/布丁,3,3,1.0
果汁,29817,V2融合世界标签体系/通用分类标签/食物/食品/果汁,29821,V2融合世界标签体系/通用分类标签/食物/食品/果汁,3,3,1.0
不动产,30738,V2融合世界标签体系/通用分类标签/属性与状态/不动产,30739,V2融合世界标签体系/通用分类标签/属性与状态/不动产/不动产,3,2,0.67
分数,31304,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数,31305,V2融合世界标签体系/通用分类标签/时间数量与度量/一定量/复数/实数/有理数/分数/分数,3,2,0.67
动物纤维,31660,V2融合世界标签体系/通用分类标签/材料与物质/动物材料/动物产品/动物纤维,31749,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维/动物纤维,3,3,1.0
天然树脂,31690,V2融合世界标签体系/通用分类标签/材料与物质/化合物/有机化合物/松香/天然树脂,31812,V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/天然树脂,3,3,1.0
植物纤维,31753,V2融合世界标签体系/通用分类标签/材料与物质/天然纤维/天然纤维/植物纤维,31816,V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/植物纤维,3,3,1.0
烟草,31820,V2融合世界标签体系/通用分类标签/材料与物质/植物材料/植物产品/烟草,31834,V2融合世界标签体系/通用分类标签/材料与物质/毒品/毒品/烟草,3,3,1.0
配件,32423,V2融合世界标签体系/通用分类标签/知识与学科/配件,32424,V2融合世界标签体系/通用分类标签/知识与学科/配件/配件,3,2,0.67
军用飞机,695,V2融合世界标签体系/通用分类标签/交通工具/军用车/军用飞机,987,V2融合世界标签体系/通用分类标签/交通工具/航空器/重于空气航空器/军用飞机,2,2,1.0
新婚,1995,V2融合世界标签体系/通用分类标签/人物与人体/亲属/伙伴/新婚,2554,V2融合世界标签体系/通用分类标签/人物与人体/同居伴侣/伙伴/新婚,2,2,1.0
任职者,2453,V2融合世界标签体系/通用分类标签/人物与人体/劳动者/职员/任职者,2767,V2融合世界标签体系/通用分类标签/人物与人体/所有者/容器/任职者,2,2,1.0
扣子,3354,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/扣子,3357,V2融合世界标签体系/通用分类标签/人造物体/五金工具/紧固件/扣子,2,2,1.0
CD,5716,V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备/光盘/CD,5721,V2融合世界标签体系/通用分类标签/人造物体/数码 3C 电子/存储设备/唱片/CD,2,2,1.0
女帽,6057,V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/女帽,6060,V2融合世界标签体系/通用分类标签/人造物体/服饰全品/帽子/女帽,2,2,1.0
凿子,7440,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/凿子,7441,V2融合世界标签体系/通用分类标签/人造物体/切割器具/切削工具/刃具/凿子,2,2,1.0
网眼织物,7762,V2融合世界标签体系/通用分类标签/人造物体/台布/网眼织物,7765,V2融合世界标签体系/通用分类标签/人造物体/台布/网眼织物,2,2,1.0
珠饰头饰,7847,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/头具/珠饰头饰,10913,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/头具/珠饰头饰,2,2,1.0
全套服装,7905,V2融合世界标签体系/通用分类标签/人造物体/商品/消费品/可穿戴设备/打扮/全套服装,10971,V2融合世界标签体系/通用分类标签/人造物体/覆盖物/可穿戴设备/打扮/全套服装,2,2,1.0
